"CountryCode","SeriesCode","DESCRIPTION",
"BEL","SP.DYN.TFRT.IN","Data source: Eurostat, Statistics Belgium",
"BEL","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BEL","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"BEN","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BEN","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens. Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BEN","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BEN","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BEN","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BFA","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BFA","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BFA","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BFA","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BGD","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BGD","SG.GEN.PARL.ZS","In 2004, the number of seats in parliament was raised from 300 to 345, with the addition of 45 reserved seats for women. These reserved seats were filled in September and October 2005, being allocated to political parties in proportion to their share of the national vote received in the 2001 election. 
The parliament was dissolved on 27 October 2006, in view of elections that are yet to take place. Women held 52 of the 345 seats (15%) in the outgoing parliament. 
45 reserved seats reserved for women are yet to be filled in 2008.",
"BGD","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population. The number of refugees or persons in refugee-like situations as reported by the Office of the United Nations High Commissioner for Refugees (UNHCR) or, where appropriate, the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA) were added to the 2 estimates.",
"BGD","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"BGD","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"BGR","SP.DYN.CDRT.IN","Data source: Eurostat, National Statistical Institute",
"BGR","SP.DYN.CBRT.IN","Data source: Eurostat, National Statistical Institute",
"BGR","SP.DYN.AMRT.MA","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"BGR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on the foreign-born population.",
"BGR","SP.DYN.LE00.MA.IN","Data source: Eurostat, National Statistical Institute",
"BGR","SP.DYN.AMRT.FE","Data source: HMD. Human Mortality Database. Max Planck Institute for Demographic Research (Germany), University of California, Berkeley (USA), and French Institute for Demographic Studies (France). Available at www.mortality.org.",
"BGR","SP.DYN.LE00.FE.IN","Data source: Eurostat, National Statistical Institute",
"BGR","SP.DYN.LE00.IN","Derived using male and female life expectancy",
"BGR","SP.DYN.TFRT.IN","Data source: Eurostat, National Statistical Institute",
"BGR","SP.POP.TOTL","Data source: Eurostat",
"BHR","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"BHR","SG.POP.MIGR.FE.ZS","Estimates were derived from data on foreign citizens.",
"BHR","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"BHR","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
